number,summary,milestone,assigned_to_name,assigned_to_id,status
1307,Upload fails to complete on Firefox,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,In Progress
997,Email address styling in 'to' field on uploads,Archived: Release 2.0 prototype,Jack Kittridge,bIiF-SXuOr4ydAacwqjQWU,Test
1322,Prevent spurious whitespace in config.php to cause mishaps,Release 1.6,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,In Progress
1321,Security: insufficient input validation,Release 1.6,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,In Progress
1320,Log a warning when observed protocol is more secure than site_url,Release 2.0-alpha,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,New
1318,auth_remote_signature_algorithm is not used,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,New
1316,Document known issue / FAQ regarding upload of compound file formats on Mac,Release 2.0: Documentation,,,New
1315,Document $config['stalling_detection'] ,Release 2.0: Documentation,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,New
1282,Check subject logic for sender and email receiver mails,Release 2.0 - Backlog,,,New
1284,Announce 2.0-alpha1 release on blog and mailinglist,Release 2.0: Documentation,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Accepted
1162,Tidy linux source documentation for 2.0-alpha,Release 2.0: Documentation,Jørn Åne,c9JOC0LeOr5BTmacwqEsg8,Accepted
1204,Documentation 2.0: how to configure 2.0 email settings so you will not have any SPF troubles,Release 2.0: Documentation,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Accepted
1306,Document config directive for disclosure,Release 2.0: Documentation,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,New
1283,Add executed 2.0 security reviews to reviews and prototype list + to 2.0 alpha download page,Release 2.0: Documentation,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,New
1278,Add timezone to transfer audit log display,Release 2.0 - Backlog,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,New
