number,summary,milestone,reporter,assigned_to_name,assigned_to_id,priority,status,completed_date,due_date,created_on,work_remaining,project,worked_hours,total_worked_hours,sum_of_child_estimates,plan_level,estimate,total_work_remaining,description,updated_at,last_status_or_milestone_change,tag_names,visible_in_client_view,days_from_created_on,days_from_last_update,days_from_status_change,days_from_completed,Fixed in,known since,Planned for release,type of feature
,,,,,,,,,,,,,,,,,,,,,,,,,,,,list,list,list,list
1320,Log a warning when observed protocol is more secure than site_url,Release 2.0-alpha,Jørn Åne (c9JOC0LeOr5BTmacwqEsg8),Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Normal,New,Not Completed,,2016-08-17,0.0,FileSender,0.0,0.0,1.0,-,1.0,0.0,"Strange things can happen when FileSender is served via HTTPS but the <code>site_url</code> mentions http. In this case, the user was able to log in but not upload, the error message was <code>terasender_source_file_not_available</code> which of course is not very descriptive.

I suggest the following behaviour:

If <code>$_SERVER['HTTPS'] && $_SERVER['HTTPS'] != 'off'</code> and <code>site_url</code> does *not* start with <code>https://</code>, then log a warning.

The reason for not detecting the opposite, is that the detection may be fooled by a reverse proxy.",2016-08-17,2016-08-17,,false,393 days,393 days,393 days,,,,,
1319,Configuration parsing in REST can lead to flags inadvertedly set to false.,Release 2.0-alpha,Jørn Åne (c9JOC0LeOr5BTmacwqEsg8),etiennemeleard,dgRDGuZ4ar478MacwqEsg8,High,Fixed,2016-09-13,,2016-07-22,0.0,FileSender,0.0,0.0,1.0,-,1.0,0.0,"Referring to r3953, the new code path neglects to read the default values for configuration flags when the user has not provided any configuration flags itself. The system simply returns an empty array in this case, which defaults all flags to ""false"". This may cause strange surprises when using the REST API and expecting that flags in the configuration file are enforced.",2016-09-13,2016-09-13,,false,419 days,366 days,366 days,366 days,,,,
1318,auth_remote_signature_algorithm is not used,Release 2.0-alpha,Jørn Åne (c9JOC0LeOr5BTmacwqEsg8),etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Normal,New,Not Completed,,2016-07-01,0.0,FileSender,0.0,0.0,0.0,-,0.0,0.0,"The configuration manual mentions `auth_remote_signature_algorithm` but no matter how I set it, the Files.sha1 field is never populated.",2016-07-01,2016-07-01,,false,440 days,440 days,440 days,,,,,
1314,Fix average upload speed counter to work properly after upload resume,Release 2.0-alpha,Jan Meijer (dPS9kyuyur3zYrab7jnrAJ),etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Normal,New,Not Completed,,2016-05-12,0.0,FileSender,0.0,0.0,0.0,-,0.0,0.0,"Issue: avg. upload speed counter goes berzerk after an upload restart.

Solution: We keep track of the time upload is started or restarted (reset at restart), for each file: got global size and uploaded size. In order to know how fast we go, we take total time it took and do a division. At one point we reset one counter and not the other. Need to know “this transfer is restarting”, need to get sum of offsets, and substract it from speed computation.
",2016-05-12,2016-05-12,,false,490 days,490 days,490 days,,,,,
1313,Upload UI: Total transfer size counter in file box does not update properly on file deletion,Release 2.0-alpha,Jan Meijer (dPS9kyuyur3zYrab7jnrAJ),etiennemeleard,dgRDGuZ4ar478MacwqEsg8,High,New,Not Completed,,2016-04-07,0.0,FileSender,0.0,0.0,0.0,-,0.0,0.0,With the upload form: When deleting a file from the file selection in the file box the total transfer size counter is reset to 0 even if there still are files in the file box.,2016-04-07,2016-04-07,,false,525 days,525 days,525 days,,,,,
1312,Apply consistent updated BSD license to all files in 2.0 source tree,Release 2.0-alpha,Jan Meijer (dPS9kyuyur3zYrab7jnrAJ),Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Normal,Accepted,Not Completed,,2016-04-06,0.0,FileSender,0.0,0.0,0.0,-,0.0,0.0,"As per our LICENCE.txt.  RENATER should be included.

Coordinate with Etienne.

- nail license text to include
- coordinate with Etienne
- ask Etienne or Jørn to do actual update",2016-04-06,2016-04-06,,false,526 days,526 days,526 days,,,,,
1307,Upload fails to complete on Firefox,Release 2.0-alpha,Jørn Åne (c9JOC0LeOr5BTmacwqEsg8),etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Highest,In Progress,Not Completed,,2016-03-03,0.0,FileSender,0.0,0.0,0.0,-,0.0,0.0,"I tried uploading a large file (50GB) using Firefox, using TeraSender with 20 workers. When the upload completes, the file appears green but nothing else happens. After a while, an error message appears stating ""Transfer's files are not done uploading"", and a reference to an exception. The exception reads as follows:

<pre>
filesender_2016-03-02_15h.log:[2016-03-02 15:59:21] [rest:error] [TransferFilesIncompleteException exception uid:56d70dd93ba42] transfer_files_incomplete
filesender_2016-03-02_15h.log:[2016-03-02 15:59:21] [rest:error] [TransferFilesIncompleteException trace uid:56d70dd93ba42] #0 /usr/local/filesender/filesender-2.0/classes/rest/endpoints/RestEndpointTransfer.class.php(568): Transfer->makeAvailable()
filesender_2016-03-02_15h.log:[2016-03-02 15:59:21] [rest:error] [TransferFilesIncompleteException trace uid:56d70dd93ba42] #1 [internal function]: RestEndpointTransfer->put('72')
filesender_2016-03-02_15h.log:[2016-03-02 15:59:21] [rest:error] [TransferFilesIncompleteException trace uid:56d70dd93ba42] #2 /usr/local/filesender/filesender-2.0/classes/rest/RestServer.class.php(234): call_user_func_array(Array, Array)
filesender_2016-03-02_15h.log:[2016-03-02 15:59:21] [rest:error] [TransferFilesIncompleteException trace uid:56d70dd93ba42] #3 /usr/local/filesender/filesender-2.0/www/rest.php(37): RestServer::process()
filesender_2016-03-02_15h.log:[2016-03-02 15:59:21] [rest:error] [TransferFilesIncompleteException trace uid:56d70dd93ba42] #4 {main}
filesender_2016-03-02_15h.log:[2016-03-02 15:59:21] [rest:error] [TransferFilesIncompleteException details uid:56d70dd93ba42] transfer = ""Transfer#72""
</pre>",2017-05-15,2016-05-12,,false,560 days,122 days,490 days,,,,,
1308,Using `createtransfer.php` must check that it runs from the correct user.,Release 2.0-alpha,Jørn Åne (c9JOC0LeOr5BTmacwqEsg8),,,Normal,New,Not Completed,,2016-03-10,0.0,FileSender,0.0,0.0,0.0,-,0.0,0.0,"When I run <code>createtransfer.php</code> as my own user, I get a lot of the following error message:

<pre>failed to open stream: Permission denied in /usr/local/filesender/filesender-2.0/classes/utils/Logger.class.php on line 353</pre>

When I run it as root instead it works, but now I get this error when I try to run FileSender from the webbrowser. This happens because createtransfer.php may create a new logfile, and this new logfile will then be owned by the user that ran createtransfer.php.

The following things need to be taken care of:
* If log files can't be written, the script should abort.
* If log files can be written, they should either be chowned to the webserver, or made group-writeable.",2016-03-10,2016-03-10,,false,553 days,553 days,553 days,,,,,
1304,"Usability: When trying to click send, user is never warned the email is missing",Release 2.0-alpha,Jan Meijer (dPS9kyuyur3zYrab7jnrAJ),etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Normal,New,Not Completed,,2016-02-26,0.0,FileSender,0.0,0.0,1.0,-,1.0,0.0,The user won't know why the send button isn't activated because there's no feedback to the user.  We need a slightly better way to let the user understand what (s)he needs to do.,2016-02-26,2016-02-26,,false,566 days,566 days,566 days,,,,,
