number,summary,milestone,assigned_to_name,assigned_to_id,status
1307,Upload fails to complete on Firefox,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,In Progress
1295,Large files stall on Internet Explorer 11,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,In Progress
1103,Release 1.6,Release 1.6,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
1239,Upload broken by computer sleep mode (it seems),Release 2.0-alpha,Jørn Åne,c9JOC0LeOr5BTmacwqEsg8,Test
227,Session-cookies must always be transmitted encrypted #11.3,Release 1.0,,,Fixed
1077,Release 1.6-rc1,Release 1.6,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
226,E-mail functionality must be protected against automated spamming #10.1,Release 1.0,,,Fixed
225,Uploaded files must never be “executed” or “evaluated” #9.3,Release 1.0,,,Fixed
224,Untrusted uploaded files must be stored outside the document root #9.1,Release 1.0,,,Fixed
223,User input must be encoded before it is used in system commands #7.10,Release 1.0,,,Fixed
222,User input must be encoded before it is used in SQL commands #7.3,Release 1.0,,,Fixed
1224,Bug: guest voucher can not be used by unauthenticated guest,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Fixed
221,User input must be encoded before it is used in path/filenames #7.2,Release 1.0,,,Fixed
220,Authentication and authorization must not be based on obscurity #6.3,Release 1.0,,,Fixed
219,Authentication must be performed separately for each privileged request #6.2,Release 1.0,,,Fixed
218,Authentication must be performed at the server side #6.1,Release 1.0,,,Fixed
217,Session related information must be stored at the server-side #5.1,Release 1.0,,,Fixed
216,Sensitive information must not be transmitted unencrypted #4.1,Release 1.0,,,Fixed
215,The document root must not contain extraneous files #3.4,Release 1.0,,,Fixed
213,Only the user interface must be directly accessible by users 2.1,Release 1.0,,,Fixed
1122,Crypto: download of encrypted over2G-random.dat fails on qtest,end-to-end file encryption,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Accepted
1108,Crypto: non encrypted cancel/resume broken,end-to-end file encryption,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Test
874,Remaining tasks for releasing 1.5-release,Release 1.5,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Fixed
889,Terasender to use Filesender Temp Folder and add cleanup to cron.php,Release 1.6,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
891,Terasender - config options for default upload settings,Release 1.6,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
902,Rename Tsunami to TeraSender,Release 1.6,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
903,session id in temporary terasender chunk names,Release 1.6,,,Invalid
885,Add TeraSender functionality,Release 1.6,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
77,config to show gears and flash upload settings seperately,Release 1.0,,,Fixed
71,improve error logging,Release 1.0,,,Fixed
819,Upgrade JQuery UI ,Release 1.6,Wendy Mason,aNSALiyQSr3482eJe5cbCb,Fixed
618,HTML5 upload resume broken,Release 1.5,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
18,datestyle in postgressql database not standard on linux,Release 1.0,,,Fixed
20,logoff doesn't work: You don't have permission to access /simplesaml/filesender/ on this server.,Release 1.0,,,Fixed
39,Catch all php error,Release 1.0,,,Fixed
42,Check all JSON data sent then notify comple or error,Release 1.0,,,Fixed
48,value for fileexpirydate is not filed in emails,Release 1.0,,,Fixed
57,install documentation: document index page,Release 1.0,,,Fixed
59,cosmetic: scroll bars in filesender app on Linux,Release 1.0,,,Fixed
64,negative file expire date possible,Release 1.0,,,Fixed
65,"download link not working, %20 in filename an issue?",Release 1.0,,,Fixed
69,filesize too precise: 3408.220703125MB,Release 1.0,,,Fixed
70,PostgresSQL integer field out of range,Release 1.0,,,Fixed
72,database log when files is complete is not storing email addresses of To:/From:,Release 1.0,,,Fixed
